SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	METHODS	MUTATIONS	SAMPLES	%_SAMPLES_COHORT	QVALUE_COMBINATION	ROLE	CGC_GENE	CGC_CANCER_GENE	DOMAINS	2D_CLUSTERS	3D_CLUSTERS	EXCESS_MIS	EXCESS_NON	EXCESS_SPL	IS_DRIVER	TOTAL_SAMPLES
ACVR1	ENST00000434821	TCGA_WXS_UCEC	UCEC	oncodrivefml,dndscv	23	21.0	0.0407766990291262	4.088835760614027e-14	Act	True	False		206:206		0.8943046421656923	0.803817060160977	0.0	True	515
ACVR1B	ENST00000257963	TCGA_WXS_BRCA	BRCA	combination	11	10.0	0.0099108027750247	0.0029540438173887	LoF	True	False				0.6893398002731012	0.8895698009328828	0.0	True	1009
ACVR1B	ENST00000257963	HARTWIG_WGS_COAD_2023	COAD	combination	2	2.0	0.016	0.0531362803503854	LoF	True	False				0.8043193809234026	0.9821842856152057	0.0	True	125
ACVR1B	ENST00000257963	TCGA_WXS_COADREAD	COADREAD	cbase	11	10.0	0.0186567164179104	3.916485288896812e-05	LoF	True	False				0.9201682405569024	0.9655937988941752	0.0	True	536
ACVR1B	ENST00000257963	TCGA_WXS_LUAD	LUAD	combination	13	9.0	0.0160714285714285	0.0005225628837912	LoF	True	False				0.7251953834345527	0.9160890607429482	0.9160890607429482	True	560
ACVR1B	ENST00000257963	CPTAC_WXS_PAAD_2021	PAAD	combination	3	3.0	0.0214285714285714	2.3685570276033964e-06	LoF	True	True				0.9714680851348764	0.994239852155794	0.0	True	140
ACVR1B	ENST00000257963	ICGC_WGS_PAAD_PACA_CA_2019	PAAD	cbase	3	2.0	0.0327868852459016	8.001560391537558e-05	LoF	True	True				0.9291240280555388	0.9964670251669672	0.0	True	61
ACVR1B	ENST00000257963	ICGC_WGS_PAAD_PACA_AU_2019	PAAD	dndscv,cbase	4	4.0	0.0305343511450381	1.95873660543576e-08	LoF	True	True				0.9685040740168024	0.9966471525725904	0.0	True	131
ACVR1B	ENST00000257963	PCAWG_WGS_PANC_ADENOCA	PAAD	dndscv	6	4.0	0.0172413793103448	5.348598953276906e-05	LoF	True	True				0.9255584032028864	0.995043043110954	0.995043043110954	True	232
ACVR2A	ENST00000241416	ICGC_WXS_COADREAD_COCA_CN_VARSCAN_2019	COADREAD	cbase	4	4.0	0.0404040404040404	7.962333493827926e-07	LoF	True	True				0.8486396176997574	0.9825259705735778	0.0	True	99
ACVR2A	ENST00000241416	HARTWIG_WGS_COADREAD_2023	COADREAD	cbase	16	13.0	0.0246212121212121	2.064000055670369e-05	LoF	True	True				0.8232037613007189	0.950305761570974	0.0	True	528
ACVR2A	ENST00000241416	TCGA_WXS_COADREAD	COADREAD	mutpanning	14	6.0	0.0111940298507462	5.473236810236937e-08	LoF	True	True				0.8220293076047088	0.982575363177423	0.982575363177423	True	536
ACVR2A	ENST00000241416	OTHER_WXS_SCC_NATCOM2018	CSCC	combination	6	6.0	0.1578947368421052	1.2257037910485005e-05	LoF	True	False		179:179		0.0	0.9400679626208528	0.0	True	38
ACVR2A	ENST00000241416	ICGC_WXS_HCC_LICA_FR_2019	HCC	mutpanning	11	7.0	0.0331753554502369	1.5067219870997188e-06	LoF	True	False				0.9122533718211508	0.9789640340559372	0.9789640340559372	True	211
ACVR2A	ENST00000241416	ICGC_WXS_HCC_LINC_JP_2019	HCC	dndscv,mutpanning	13	9.0	0.0422535211267605	2.208923570483498e-09	LoF	True	False				0.9340675472387888	0.9486890319509318	0.0	True	213
ACVR2A	ENST00000241416	TCGA_WXS_HCC	HCC	combination	11	11.0	0.0305555555555555	1.0045812525392849e-05	LoF	True	False				0.4719461890485498	0.9568251257924858	0.9568251257924858	True	360
ACVR2A	ENST00000241416	ICGC_WGS_PAAD_PACA_CA_2019	PAAD	combination	3	3.0	0.0491803278688524	7.748121927395958e-05	LoF	True	True				0.911330633765192	0.9882711967234942	0.0	True	61
ACVR2A	ENST00000241416	ICGC_WGS_PAAD_PACA_AU_2019	PAAD	combination	3	2.0	0.015267175572519	0.0032873192648211	LoF	True	True				0.9755082128423463	0.9930238853471864	0.0	True	131
ACVR2A	ENST00000241416	ICGC_WXS_PAAD_PACA_AU_2019	PAAD	dndscv,cbase	4	3.0	0.0223880597014925	2.461823858374447e-08	LoF	True	True				0.9909003494922708	0.9986825839058884	0.0	True	134
ACVR2A	ENST00000241416	CBIOP_WXS_PRAD_SU2C_2019	PRAD	combination	6	3.0	0.0067567567567567	0.0029723962985116	LoF	True	False				0.0	0.936871160006785	0.0	True	444
ACVR2A	ENST00000241416	TCGA_WXS_STAD	STAD	mutpanning	18	8.0	0.018348623853211	0.0013837438233048	LoF	True	True				0.8685163521891003	0.9273944156262852	0.0	True	436
ACVR2A	ENST00000241416	TCGA_WXS_UCEC	UCEC	mutpanning	30	10.0	0.0194174757281553	0.1172205684394564	Act	True	False				0.6500901662372183	0.0	0.0	True	515
ADAMTS9	ENST00000498707	CBIOP_WXS_MM_BROAD_UNTREAT	PCM	dndscv,cbase	6	4.0	0.0439560439560439	3.744881520152136e-05	LoF	False	False				0.983795302768912	0.995858609676865	0.995858609676865	True	91
AFDN	ENST00000683244	ICGC_WGS_BRCA_BRCA_EU_2019	BRCA	combination	7	6.0	0.0124223602484472	0.0011487545054156	LoF	True	False				0.0400744095432565	0.892112686100069	0.0	True	483
AFDN	ENST00000683244	TCGA_WXS_BRCA	BRCA	combination	17	13.0	0.0128840436075322	0.046850042530878	LoF	True	False				0.541911343348531	0.9112037485052672	0.9112037485052672	True	1009
AFDN	ENST00000683244	HARTWIG_WGS_COADREAD_2023	COADREAD	smregions	9	6.0	0.0113636363636363	0.0094475293402865	Act	True	False	PF00498:434:492			0.3402178215323502	0.0	0.8210297012285055	True	528
AFF1	ENST00000395146	ICGC_WGS_MEL_MELA_AU_2019	MEL	combination	2	2.0	0.0266666666666666	0.0644030683812995	LoF	True	False				0.4788937616458595	0.9606054926743728	0.0	True	75
AFF3	ENST00000672756	CBIOP_WXS_LUAD_VALLEN_2018	LUAD	combination	5	5.0	0.1063829787234042	0.0118411586596593	LoF	True	False				0.6865565046860821	0.9633217227749784	0.0	True	47
AFF3	ENST00000672756	ICGC_WXS_WDTC_THCA_SA_2019	WDTC	combination	3	3.0	0.0123456790123456	0.0131748796798942	Act	True	False				0.8983029556993559	0.0	0.0	True	243
AFF4	ENST00000265343	ICGC_WXS_HCC_LINC_JP_2019	HCC	smregions	7	5.0	0.0234741784037558	0.1197902575364792	Act	True	False	PF18876:898:1161			0.6633767225186197	0.0	0.0	True	213
AJUBA	ENST00000262713	TCGA_WXS_HNSC	HNSC	oncodrivefml,dndscv,cbase,mutpanning	34	26.0	0.0517928286852589	2.704778888890665e-13	LoF	False	False				0.5505920377264791	0.9773615512786156	0.9773615512786156	True	502
AKAP9	ENST00000356239	CBIOP_WXS_BCC_UNIGE_2016_UNTREAT	BCC	mutpanning	30	20.0	0.2631578947368421	0.3246789478921122	ambiguous	True	False				0.0	0.0	0.0	True	76
AKAP9	ENST00000356239	CBIOP_WXS_BLCA_VALLEN_2018	BLCA	smregions	5	4.0	0.1481481481481481	0.0213396240175824	Act	True	False	PF10495:3704:3785			0.598012432157148	0.0	0.0	True	27
AKAP9	ENST00000356239	HARTWIG_WGS_BRCA_2023	BRCA	combination	22	17.0	0.0205811138014527	0.1183277187135892	Act	True	False				0.2527307848406526	0.0	0.0	True	826
AKAP9	ENST00000356239	TCGA_WXS_CCRCC	CCRCC	cbase	12	10.0	0.0279329608938547	0.0147117682390052	Act	True	False				0.5857314014080974	0.4706957048267714	0.0	True	358
AKAP9	ENST00000356239	TCGA_WXS_ESCA	ESCA	cbase	12	8.0	0.0439560439560439	9.627748532019018e-06	LoF	True	False				0.7861952792900864	0.8634259298431438	0.0	True	182
AKAP9	ENST00000356239	ICGC_WGS_HCC_LICA_FR_2019	HCC	combination	5	5.0	0.15625	0.0003165983184618	Act	True	False				0.8245809069770036	0.0	0.0	True	32
AKAP9	ENST00000356239	HARTWIG_WGS_HNSC_2023	HNSC	combination	2	2.0	0.0606060606060606	0.0066875732745285	LoF	True	False				0.0421675084476388	0.8699355778839022	0.0	True	33
AKAP9	ENST00000356239	HARTWIG_WGS_SKCM_2023	SKCM	combination	20	20.0	0.0668896321070234	0.0108152765880862	LoF	True	False				0.3474338775808522	0.7845296363555851	0.0	True	299
AKAP9	ENST00000356239	HARTWIG_WGS_STOMACH_2023	STOMACH	combination	5	4.0	0.0888888888888888	0.0005854840707654	LoF	True	False				0.8044140682726983	0.9521202356504446	0.0	True	45
AKAP9	ENST00000356239	PCAWG_WGS_UTERUS_ADENOCA	UCEC	combination	5	5.0	0.1136363636363636	0.0005505201022689	Act	True	False				0.8617026261506718	0.0	0.0	True	44
AKT1	ENST00000649815	PEDCBIOP_WXS_BALL_REL	ALL	combination	2	2.0	0.0952380952380952	3.3214819704491774e-05	Act	True	False				0.9931110421828244	0.0	0.0	True	21
AKT1	ENST00000649815	CPTAC_WXS_BRCA_2020	BRCA	smregions	5	4.0	0.0314960629921259	1.2682359470781484e-08	Act	True	True	PF00169:7:106	17:17		0.9411974607355272	0.0	0.0	True	127
AKT1	ENST00000649815	ICGC_WXS_BRCA_BRCA_UK_2019	BRCA	oncodriveclustl,dndscv,smregions,cbase	5	5.0	0.0526315789473684	1.3920752358599104e-13	Act	True	True	PF00169:7:106	17:17		0.9756577881078186	0.0	0.0	True	95
AKT1	ENST00000649815	ICGC_WXS_BRCA_BRCA_KR_2019	BRCA	oncodriveclustl,smregions,mutpanning,hotmaps	4	4.0	0.0816326530612244	5.904352183894266e-14	Act	True	True	PF00169:7:106	17:17	17.0	0.9781371731248928	0.0	0.0	True	49
AKT1	ENST00000649815	ICGC_WGS_BRCA_BRCA_EU_2019	BRCA	oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	14	14.0	0.0289855072463768	3.641513287384316e-32	Act	True	True	PF00169:7:106	17:17	17	0.957985564273544	0.0	0.0	True	483
AKT1	ENST00000649815	HARTWIG_WGS_BRCA_2023	BRCA	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	42	38.0	0.0460048426150121	1.3358234444045615e-61	Act	True	True	PF00169:7:106	17:17	52,17	0.9584477815547784	0.0	0.8392839075034227	True	826
AKT1	ENST00000649815	PCAWG_WGS_BREAST_ADENOCA	BRCA	oncodriveclustl,smregions,mutpanning,hotmaps	5	5.0	0.0256410256410256	3.265520271642409e-15	Act	True	True	PF00169:7:106	17:17	17	0.943444735444817	0.0	0.0	True	195
AKT1	ENST00000649815	TCGA_WXS_BRCA	BRCA	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	28	28.0	0.0277502477700693	1.2201778512100193e-59	Act	True	True	PF00169:7:106	17:17	52,17	0.9389894885816376	0.0	0.0	True	1009
AKT1	ENST00000649815	TCGA_WXS_CESC	CESC	hotmaps	5	5.0	0.0173611111111111	9.026829555227015e-05	Act	True	False		15:17		0.8275177706355189	0.0	0.0	True	288
AKT1	ENST00000649815	HARTWIG_WGS_COADREAD_2023	COADREAD	combination	9	8.0	0.0151515151515151	0.0001725535813618	Act	True	True		17:17		0.894823737323304	0.0	0.0	True	528
AKT1	ENST00000649815	OTHER_WGS_PRAD_CPGEA_2021	PRAD	combination	4	4.0	0.0192307692307692	0.0001069854115157	Act	True	False		17:17		0.9874361193695856	0.0	0.0	True	208
AKT1	ENST00000649815	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_MET	PRAD	combination	3	3.0	0.009009009009009	0.0002832375730558	Act	True	False		17:17		0.8850141407664059	0.0	0.0	True	333
AKT1	ENST00000649815	TCGA_WXS_PRAD	PRAD	combination	3	3.0	0.0060728744939271	0.0003249004994776	Act	True	False		17:17		0.8898373706759837	0.0	0.0	True	494
AKT1	ENST00000649815	CBIOP_WXS_PRAD_SU2C_2019	PRAD	combination	5	5.0	0.0112612612612612	0.0009197428683757	Act	True	False		17:17		0.7545631148819197	0.0	0.0	True	444
AKT1	ENST00000649815	HARTWIG_WGS_PROSTATE_2023	PROSTATE	smregions,mutpanning,hotmaps	7	7.0	0.016826923076923	1.8151637709366943e-14	Act	True	False	PF00169:7:106	17:17	52,17	0.915816583335712	0.0	0.0	True	416
AKT1	ENST00000649815	HARTWIG_WGS_SARCNOS_2023	SARCNOS	combination	2	2.0	0.04	0.000291091934345	Act	True	False		17:17		0.9834413964382336	0.0	0.0	True	50
AKT1	ENST00000649815	CPTAC_WXS_UCEC_2020	UCEC	combination	6	5.0	0.0495049504950495	0.0004252239325862	Act	True	False				0.8475208449474898	0.0	0.0	True	101
AKT1	ENST00000649815	PCAWG_WGS_UTERUS_ADENOCA	UCEC	combination	2	2.0	0.0454545454545454	0.0012797918132888	Act	True	False				0.9513938810394358	0.0	0.0	True	44
AKT1	ENST00000649815	TCGA_WXS_UCEC	UCEC	oncodriveclustl,smregions,mutpanning,hotmaps	15	14.0	0.0271844660194174	1.751767470861802e-12	Act	True	False	PF00169:7:106	17:17	17,80	0.7721227814567684	0.0	0.0	True	515
AKT1	ENST00000649815	TCGA_WXS_WDTC	WDTC	oncodriveclustl,smregions	5	5.0	0.0102459016393442	1.5808716796932535e-09	Act	True	False	PF00169:7:106	17:17		0.9601415805321348	0.0	0.0	True	488
AKT3	ENST00000673466	HARTWIG_WGS_PROSTATE_2023	PROSTATE	oncodriveclustl	5	5.0	0.0120192307692307	4.936982776571646e-05	Act	True	False		17:17		0.927301223144364	0.0	0.0	True	416
AKT3	ENST00000673466	HARTWIG_WGS_SKCM_2023	SKCM	mutpanning,hotmaps	5	5.0	0.0167224080267558	1.21719782764679e-09	Act	True	False		17:17	17	0.8587064925473263	0.0	0.0	True	299
ALDH2	ENST00000261733	TARGET_WXS_OS_2020	OS	combination	3	2.0	0.0206185567010309	0.0349423427975546	Act	True	False				0.9413403331888168	0.0	0.0	True	97
ALK	ENST00000389048	PCAWG_WGS_BREAST_ADENOCA	BRCA	combination	2	2.0	0.0102564102564102	0.0455477979355275	LoF	True	False				0.2746780638391944	0.9332626882826766	0.0	True	195
ALK	ENST00000389048	ICGC_WXS_HCC_LIAD_FR_2019	HCC	combination	2	2.0	0.0666666666666666	0.0002648580266674	Act	True	False				0.9632051626398374	0.0	0.0	True	30
ALK	ENST00000389048	STJUDE_WGS_R_NB_2018	NBL	oncodriveclustl	2	2.0	0.1538461538461538	3.085578101347454e-06	Act	True	True		1174:1174		0.986078195545313	0.0	0.0	True	13
ALK	ENST00000389048	STJUDE_WGS_D_NB_2018	NBL	oncodriveclustl,dndscv,smregions,cbase	6	6.0	0.125	1.1521573682624556e-14	Act	True	True	PF07714:1117:1382	1174:1174		0.9949917361689526	0.0	0.0	True	48
ALK	ENST00000389048	OTHER_WXS_NBL_SCIENCE_COLOGNE_2018	NBL	oncodriveclustl,smregions,cbase,mutpanning,hotmaps	6	6.0	0.032258064516129	1.8309455036154736e-19	Act	True	True	PF07714:1117:1382	1170:1174	1170.0	0.9699712171888616	0.0	0.0	True	186
ALK	ENST00000389048	PEDCBIOP_WXS_NBL_UCOLOGNE_2015	NBL	oncodriveclustl,dndscv,smregions,cbase	5	5.0	0.0892857142857142	1.1679325453444545e-15	Act	True	True	PF07714:1117:1382			0.9858420101211218	0.0	0.0	True	56
ALK	ENST00000389048	TARGET_WGS_NBL_US	NBL	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	17	17.0	0.080188679245283	4.25814385446852e-51	Act	True	True	PF07714:1117:1382	1174:1174,1275:1275	1174,1245,1275,1240	0.9800678008975828	0.0	0.0	True	212
ALK	ENST00000389048	HARTWIG_WGS_NSCLC_2023	NSCLC	oncodriveclustl,smregions,mutpanning,hotmaps	43	34.0	0.0666666666666666	2.7730144142853543e-23	Act	True	False	PF07714:1117:1382	1171:1174	1196,1202,1171,1174	0.5118741190091595	0.0	0.0	True	510
ALK	ENST00000389048	HARTWIG_WGS_PROSTATE_2023	PROSTATE	combination	8	7.0	0.016826923076923	0.0025786461750752	LoF	True	False				0.7562267244162085	0.8888015230768779	0.0	True	416
ALK	ENST00000389048	CBIOP_WXS_SCLC_UCOLOGNE_2015	SCLC	combination	8	5.0	0.0467289719626168	0.030108584276008	Act	True	False				0.878314733517636	0.0	0.9274038202461647	True	107
ALPK1	ENST00000650871	CPTAC_WXS_PAAD_2021	PAAD	oncodrivefml,smregions	7	4.0	0.0285714285714285	5.676649000805805e-06	Act	False	False	PF02816:1043:1229	1180:1180		0.900969457863493	0.0	0.0	True	140
AMER1	ENST00000374869	CPTAC_WXS_COAD_2020	COAD	dndscv,cbase,mutpanning	6	5.0	0.0485436893203883	4.0960117466965576e-08	LoF	True	False				0.0	0.9941817601786106	0.0	True	103
AMER1	ENST00000374869	HARTWIG_WGS_COAD_2023	COAD	oncodrivefml,oncodriveclustl,dndscv,cbase,mutpanning	10	9.0	0.072	2.988663740915492e-12	LoF	True	False				0.2445583058609973	0.9906065756265978	0.0	True	125
AMER1	ENST00000374869	ICGC_WXS_COADREAD_COCA_CN_CASPOINT_2019	COADREAD	combination	3	3.0	0.06	0.0001423079084681	LoF	True	False				0.0	0.9889981145643848	0.0	True	50
AMER1	ENST00000374869	ICGC_WXS_COADREAD_COCA_CN_TORRENT_2019	COADREAD	combination	2	2.0	0.0689655172413793	2.200551844723065e-06	LoF	True	False				0.0	0.9956708811274922	0.0	True	29
AMER1	ENST00000374869	HARTWIG_WGS_COADREAD_2023	COADREAD	oncodrivefml,dndscv,cbase,mutpanning	41	35.0	0.0662878787878787	4.0545289418628656e-24	LoF	True	False		353:358		0.3594167184459106	0.9842877290354034	0.0	True	528
AMER1	ENST00000374869	PCAWG_WGS_COLORECT_ADENOCA	COADREAD	dndscv,cbase	4	4.0	0.0769230769230769	9.184764267661153e-14	LoF	True	False				0.0	0.9951132391257168	0.0	True	52
AMER1	ENST00000374869	TCGA_WXS_COADREAD	COADREAD	oncodrivefml,dndscv,smregions,cbase,mutpanning	45	41.0	0.0764925373134328	1.5823478656321806e-30	LoF	True	False	PF09422:455:535			0.0	0.9907192542890204	0.0	True	536
AMER1	ENST00000374869	HARTWIG_WGS_READ_2023	READ	combination	3	2.0	0.037037037037037	6.261164819441023e-05	LoF	True	False				0.0	0.99159353977743	0.0	True	54
AMER1	ENST00000374869	TARGET_WGS_WT_US	WT	oncodrivefml	2	2.0	0.0588235294117647	5.059218911730019e-05	LoF	True	True				0.0	0.997837061035476	0.0	True	34
ANK1	ENST00000289734	CBIOP_WXS_ANGS_TREATED_2020	ANGS	combination	2	2.0	0.054054054054054	0.0100904826953332	LoF	True	False				0.3961529061906065	0.9495319240451576	0.0	True	37
ANK1	ENST00000289734	PCAWG_WGS_BILIARY_ADENOCA	CHOL	combination	3	3.0	0.088235294117647	5.498560403406695e-05	Act	True	False				0.9374636889092198	0.0	0.0	True	34
ANK1	ENST00000289734	CPTAC_WXS_COAD_2020	COAD	combination	7	7.0	0.0679611650485436	0.0093853518579892	Act	True	False				0.8269874874083848	0.0	0.0	True	103
ANK1	ENST00000289734	HARTWIG_WGS_COADREAD_2023	COADREAD	combination	19	18.0	0.034090909090909	0.0591049074829314	Act	True	False				0.3402306258711192	0.0	0.0	True	528
ANK1	ENST00000289734	CPTAC_WXS_LUAD_2020	LUAD	combination	10	8.0	0.0727272727272727	0.0991343144873225	Act	True	False				0.4425670427763552	0.0	0.0	True	110
ANK1	ENST00000289734	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_PRY	PRAD	combination	3	3.0	0.0134529147982062	0.0001409179282972	LoF	True	False				0.790348626536808	0.9628188654773144	0.0	True	223
ANK1	ENST00000289734	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_MET	PRAD	combination	9	8.0	0.024024024024024	0.0028236890349583	Act	True	False				0.9142489305666792	0.0	0.0	True	333
ANKRD11	ENST00000301030	ICGC_WGS_MLYM_MALY_DE_AD_2019	MLYM	oncodrivefml,cbase	7	5.0	0.043103448275862	8.921081519505899e-17	LoF	False	False				0.3499040093058513	0.9779421343064012	0.0	True	116
APC	ENST00000257430	TCGA_WXS_AML	AML	combination	4	4.0	0.0285714285714285	5.1536548494051504e-05	LoF	True	False				0.878396222953392	0.952524086757348	0.0	True	140
APC	ENST00000257430	HARTWIG_WGS_ANSC_2023	ANSC	mutpanning	4	2.0	0.0952380952380952	4.313836946801837e-08	LoF	True	False				0.0	0.9784239154244692	0.9784239154244692	True	21
APC	ENST00000257430	ICGC_WXS_CHOL_BTCA_JP_2019	CHOL	cbase,mutpanning	12	7.0	0.0292887029288702	2.767331581232488e-08	LoF	True	False				0.809216521706966	0.9790125622167126	0.9790125622167126	True	239
APC	ENST00000257430	CPTAC_WXS_COAD_2020	COAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning	97	63.0	0.6116504854368932	5.559277395800217e-35	LoF	True	True	PF16633:1282:1368	1450:1450,213:216		0.6929329961924393	0.996528293705438	0.996528293705438	True	103
APC	ENST00000257430	HARTWIG_WGS_COAD_2023	COAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning	155	88.0	0.704	5.33810659453042e-28	LoF	True	True	PF16633:1282:1368	213:216		0.2374472282728185	0.9963394374106772	0.9963394374106772	True	125
APC	ENST00000257430	ICGC_WXS_COADREAD_COCA_CN_CASPOINT_2019	COADREAD	oncodrivefml,dndscv,smregions,cbase,mutpanning	27	18.0	0.36	2.476355040318688e-35	LoF	True	True	PF16633:1282:1368			0.1067377584495432	0.9955570235807242	0.9955570235807242	True	50
APC	ENST00000257430	ICGC_WGS_COADREAD_COCA_CN_VARSCAN_2019	COADREAD	oncodrivefml,dndscv,smregions,cbase,mutpanning	11	9.0	0.45	8.752147552192629e-22	LoF	True	True	PF00514:515:552,PF16633:1282:1368			0.0	0.9982828832305104	0.9982828832305104	True	20
APC	ENST00000257430	ICGC_WXS_COADREAD_COCA_CN_VARSCAN_2019	COADREAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning	47	35.0	0.3535353535353535	4.295254469999227e-40	LoF	True	True	PF16633:1282:1368	283:283,1114:1114		0.0	0.9885916732779616	0.9885916732779616	True	99
APC	ENST00000257430	ICGC_WXS_COADREAD_COCA_CN_TORRENT_2019	COADREAD	oncodrivefml,dndscv,cbase,mutpanning	21	15.0	0.5172413793103449	2.4302256401212543e-32	LoF	True	True				0.0	0.9989108522086894	0.0	True	29
APC	ENST00000257430	HARTWIG_WGS_COADREAD_2023	COADREAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	642	369.0	0.6988636363636364	1.4410278841031106e-45	LoF	True	True	PF16633:1282:1368,PF05923:1372:1393	876:879,1447:1450,213:216		0.511978709390576	0.9966487983213562	0.9966487983213562	True	528
APC	ENST00000257430	PCAWG_WGS_COLORECT_ADENOCA	COADREAD	oncodrivefml,dndscv,smregions,cbase,mutpanning	57	28.0	0.5384615384615384	2.450949331910801e-40	LoF	True	True	PF16633:1282:1368,PF05923:1372:1393			0.5996965020272328	0.998164230511701	0.998164230511701	True	52
APC	ENST00000257430	TCGA_WXS_COADREAD	COADREAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning	553	329.0	0.6138059701492538	8.039722215403392e-42	LoF	True	True	PF16633:1282:1368,PF05923:1372:1393	211:216,1444:1451,874:876		0.7396746184366906	0.9980891414773292	0.9980891414773292	True	536
APC	ENST00000257430	CBIOP_WXS_CSCC_UCSF_2018	CSCC	combination	19	16.0	0.1927710843373494	0.1426675232126013	LoF	True	False				0.0	0.0930501714356097	0.0	True	83
APC	ENST00000257430	HARTWIG_WGS_EGC_2023	EGC	combination	2	2.0	0.0952380952380952	3.041284893315345e-06	LoF	True	False				0.0	0.9794495950603166	0.0	True	21
APC	ENST00000257430	CBIOP_WXS_ESCA_EGC_TRAP_2020	ESCA	combination	3	2.0	0.064516129032258	6.758732172416303e-06	LoF	True	False				0.0	0.991171012169048	0.0	True	31
APC	ENST00000257430	ICGC_WGS_ESCA_ESAD_UK_2019	ESCA	oncodrivefml,dndscv,cbase,mutpanning	20	14.0	0.0453074433656957	3.703485349805954e-19	LoF	True	False				0.4643521518190949	0.9675713132103998	0.0	True	309
APC	ENST00000257430	PCAWG_WGS_ESO_ADENOCA	ESCA	mutpanning	11	9.0	0.0927835051546391	0.0001573594422395	LoF	True	False				0.7090825499143085	0.9482175705842186	0.0	True	97
APC	ENST00000257430	HARTWIG_WGS_ESCC_2023	ESCC	oncodrivefml,cbase,mutpanning	20	18.0	0.1285714285714285	1.9500670970797373e-12	LoF	True	False		1450:1450		0.4663046831971374	0.949531631721948	0.0	True	140
APC	ENST00000257430	PCAWG_WGS_LIVER_HCC	HCC	combination	15	15.0	0.0477707006369426	0.0001072842941678	LoF	True	True				0.2373206642382508	0.8938304451726407	0.0	True	314
APC	ENST00000257430	ICGC_WXS_HCC_LICA_CN_STRELKA_2019	HCC	oncodrivefml	73	29.0	0.2521739130434782	2.4153176033464297e-07	LoF	True	True				0.0	0.8179551733686791	0.8179551733686791	True	115
APC	ENST00000257430	CBIOP_WXS_LUAD_ONCOSG_2020	LUAD	dndscv,cbase	47	15.0	0.0496688741721854	2.5288790189765285e-11	LoF	True	False				0.524980109782017	0.9634276537271896	0.0	True	302
